notice_number,detail_url,recipient_name_summary,notice_type_summary,issue_date_summary,local_authority_summary,main_activity_summary,served_date,notice_type,description,compliance_date,revised_compliance_date,result,address,country,region,local_authority,industry,main_activity_code,main_activity_label,location_type,hse_group,hse_directorate,hse_area,hse_division,scraped_at_utc
315700665,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315700665,IMAT Limited,Improvement Notice,26/02/2026,Tamworth,OTHER MANUFACTURING NEC,26/02/2026,Improvement Notice,"IN ( IN.AF.26.SSL.090124.2) Served - failed to provide appropriate preventive and protective measures for the effective control and monitoring of water-based metal working fluids. IN (IN.AF.26.SSL.090124.1) Served - failed to ensure that exposure of employees to substances hazardous to their health, namely water-based metal working fluids used within Cincinnati Arrow 500 CNC milling machine, serial number GD 19401, is either prevented or, where this is not reasonably practicable, adequately controlled to as low a level as is reasonably practicable.",25/04/2026,,Ongoing,"Unit 1 Brabazon Court/IMAT Lim | Imat Ltd | Unit 1, Brabazon Court | Apollo | TAMWORTH | Staffordshire | B79 7TA | England",England,Midlands,Tamworth,Manufacturing,32990,OTHER MANUFACTURING NEC,Fixed,ISDIIU4G18,INSPECTION DIVISION,,West Midlands,2026-04-08T16:45:56.002985+00:00
315704589,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315704589,Diageo Scotland Limited,Improvement Notice,27/02/2026,Fife UA,DISTILLING/BLENDING SPIRITS,27/02/2026,Improvement Notice,"315704589 - Diageo Scotland Limited have failed to take all measures necessary to prevent a major accident and limit their consequences for human health and the environment because you have failed to develop a safety management system that includes the development and adoption of procedures and instructions for the safe operation, including maintenance, of plant processes and equipment for planned shutdown periods (silent season) for the establishments operated by you",28/08/2026,,Ongoing,Cameronbridge/Diageo (Scotland | Windygates | LEVEN | Fife | KY8 5RL | Scotland,Scotland,Scotland,Fife UA,Manufacturing,11010,DISTILLING/BLENDING SPIRITS,Fixed,CEMHDU1B,Chemical Explo & Microbio Hazards Division,,Scotland,2026-04-08T16:45:49.655881+00:00
315705476,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315705476,Fastlathe Limited,Improvement Notice,27/02/2026,Amber Valley,ENGINEERING ACTIVITIES NEC,27/02/2026,Improvement Notice,"IN served - You have failed to ensure that exposure of your employees to substances hazardous to health, namely water-mix metalworking fluid mist, when operating the Hardinge V480 Machining Centre (serial number CVLB8L 0043) is either prevented or where this is not reasonably practicable, adequately controlled.",08/05/2026,,Ongoing,Cromford Road/Fastlathe Limite | Fastlathe Ltd | Unit 5 | 169 Cromford Road | NOTTINGHAM | Nottinghamshire | NG16 4EU | England,England,Midlands,Amber Valley,Total service industries,71129,ENGINEERING ACTIVITIES NEC,Fixed,ISDIIU1G6,INSPECTION DIVISION,,East Midlands,2026-04-08T16:45:50.316808+00:00
315706854,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315706854,Milltek Sport Limited,Improvement Notice,27/02/2026,Erewash,MF FABRICATED METAL PROD NEC,27/02/2026,Improvement Notice,"IN served - You have failed to ensure that exposure of your employees to substances hazardous to health, namely water-mix metalworking fluid mist, when operating the XYZ – 65 LTX CNC Machine is either prevented or where this is not reasonably practicable, adequately controlled.",08/05/2026,,Ongoing,Ilkeston/Milltek Sport Limited | Units 1-3 | Belfield Industrial Estate | ILKESTON | Derbyshire | DE7 8DU | England,England,Midlands,Erewash,Manufacturing,25990,MF FABRICATED METAL PROD NEC,Fixed,ISDIIU1G6,INSPECTION DIVISION,,East Midlands,2026-04-08T16:45:50.951998+00:00
315707522,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315707522,All Builds Construction Limited,Prohibition Notice Immediate,27/02/2026,Medway Towns UA,DEVELOPMENT BUILDING PROJECTS,27/02/2026,Prohibition Notice Immediate,,,,,HQ/West St/All Builds Construc | Upton Wilson Ltd | Riverview Lodge Guest House | Borstal Road | Rochester | Kent | ME1 | England,England,East & South East,Medway Towns UA,Construction,41100,DEVELOPMENT BUILDING PROJECTS,Fixed,ISDIU3G16,INSPECTION DIVISION,,South East,2026-04-08T16:45:51.625502+00:00
315707657,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315707657,All Builds Construction Limited,Prohibition Notice Immediate,27/02/2026,Medway Towns UA,DEVELOPMENT BUILDING PROJECTS,27/02/2026,Prohibition Notice Immediate,,,,,HQ/West St/All Builds Construc | Upton Wilson Ltd | Riverview Lodge Guest House | Borstal Road | Rochester | Kent | ME1 | England,England,East & South East,Medway Towns UA,Construction,41100,DEVELOPMENT BUILDING PROJECTS,Fixed,ISDIU3G16,INSPECTION DIVISION,,South East,2026-04-08T16:45:52.113389+00:00
315707678,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315707678,All Builds Construction Limited,Prohibition Notice Immediate,27/02/2026,Medway Towns UA,DEVELOPMENT BUILDING PROJECTS,27/02/2026,Prohibition Notice Immediate,,,,,HQ/West St/All Builds Construc | Upton Wilson Ltd | Riverview Lodge Guest House | Borstal Road | Rochester | Kent | ME1 | England,England,East & South East,Medway Towns UA,Construction,41100,DEVELOPMENT BUILDING PROJECTS,Fixed,ISDIU3G16,INSPECTION DIVISION,,South East,2026-04-08T16:45:53.170796+00:00
315726333,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315726333,JPSE Construction Limited,Improvement Notice,27/02/2026,South Norfolk,MF METAL (PARTIAL) STRUCTURES,27/02/2026,Improvement Notice,"You have failed to ensure that the exposure of your employees to substances hazardous to health, namely welding fume, a carcinogen which can cause lung cancer, is either prevented or, where this is not reasonably practicable, adequately controlled.",27/05/2026,,Complied with,Ayton Road / JPSE Construction | Ayton Road | Wymondham | N R18 | England,England,East & South East,South Norfolk,Manufacturing,25110,MF METAL (PARTIAL) STRUCTURES,Fixed,ISDIU3G13,INSPECTION DIVISION,,East,2026-04-08T16:45:54.089064+00:00
315728174,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315728174,ADNET PRECISION ENGINEERING LIMITED,Improvement Notice,27/02/2026,Tewkesbury,ENGINEERING ACTIVITIES NEC,27/02/2026,Improvement Notice,"315728174 - You are carrying out work which is liable to expose your employees to water mix metal working fluids mist, which is a substance hazardous to health. If inhaled it can cause lung disease like asthma and occupational hypersensitivity pneumonitis. You have not made a suitable and sufficient assessment of the risk created by that work to the health of your employees and the steps that need to be taken to meet the requirements of these regulations.",24/04/2026,,Ongoing,"HO/ADNET PRECISION ENGINEERING | Adnet Precision Engineering | Unit B1, Nexus Court | Gloucester Business Park | GLOUCESTER | GL3 4AG | England",England,Wales & South West,Tewkesbury,Total service industries,71129,ENGINEERING ACTIVITIES NEC,Fixed,ISDIIU4G21,INSPECTION DIVISION,,South West,2026-04-08T16:45:54.766748+00:00
315728529,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315728529,Crown Manufacturing Ltd,Improvement Notice,27/02/2026,North Somerset,MF METAL (PARTIAL) STRUCTURES,27/02/2026,Improvement Notice,"315728529 - You have failed to ensure that you're employees who are, or are liable to be, exposed to substance hazardous to health, are under suitable health surveillance, namely stainless-steel welding fumes, which can cause occupational asthma.",15/05/2026,,Ongoing,Heathcharts/Crown Manufacturin | Units 6 - 8 | Heathcharts | WESTON-SUPER-MARE | Somerset | BS24 9AY | England,England,Wales & South West,North Somerset,Manufacturing,25110,MF METAL (PARTIAL) STRUCTURES,Fixed,ISDIIU4G21,INSPECTION DIVISION,,South West,2026-04-08T16:45:55.467146+00:00
