notice_number,detail_url,recipient_name_summary,notice_type_summary,issue_date_summary,local_authority_summary,main_activity_summary,served_date,notice_type,description,compliance_date,revised_compliance_date,result,address,country,region,local_authority,industry,main_activity_code,main_activity_label,location_type,hse_group,hse_directorate,hse_area,hse_division,scraped_at_utc
315681472,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315681472,Impact Ducting Sales Limited,Improvement Notice,19/02/2026,Leicester UA,MACHINING,19/02/2026,Improvement Notice,"IN served - You have failed to ensure that employees who are, or are liable to be, exposed to substances hazardous to health, namely stainless steel welding fume, are under suitable health surveillance where it is appropriate for the protection of their health.",01/04/2026,,Complied with,Oakland Road/Impact Ducting Sa | 45 Oakland Road | LEICESTER | LE2 6AN | England,England,Midlands,Leicester UA,Manufacturing,25620,MACHINING,Fixed,ISDIIU1G6,INSPECTION DIVISION,,East Midlands,2026-04-06T09:49:47.466939+00:00
315682840,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315682840,Kent Build Ltd,Improvement Notice,19/02/2026,Medway Towns UA,CONSTRUCTION DOMESTIC BLDGS,19/02/2026,Improvement Notice,"IN/SB/Grp16/260220/01 315682840 You have failed to adequately control exposure of your workers to wood dust, a substance hazardous to health, which can cause respiratory diseases such as occupational asthma",16/03/2026,,Not complied with,HQ/Orchard Cottage/Kent Build | Chatham | Medway | Kent | ME4 | England,England,East & South East,Medway Towns UA,Construction,41202,CONSTRUCTION DOMESTIC BLDGS,Fixed,ISDIU3G16,INSPECTION DIVISION,,South East,2026-04-06T09:49:48.180909+00:00
315683269,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315683269,F3 Sheetmetal Ltd,Improvement Notice,19/02/2026,Leicester UA,MACHINING,19/02/2026,Improvement Notice,IN served - You have failed to demonstrate that a suitable and sufficient assessment has been carried out to determine whether asbestos is or is liable to be present at your premises.,27/03/2026,15/04/2026,Ongoing,Barkby Road/F3 Sheetmetal Ltd | 103 Barkby Road | LEICESTER | Leicestershire | LE4 9LG | England,England,Midlands,Leicester UA,Manufacturing,25620,MACHINING,Fixed,ISDIIU1G6,INSPECTION DIVISION,,East Midlands,2026-04-06T09:49:48.681716+00:00
315684361,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315684361,Harren Limited,Improvement Notice,20/02/2026,Nottingham UA,CONSTRUCTION OF BUILDINGS,20/02/2026,Improvement Notice,"IN served - You, as Principal Contractor, have failed to ensure that facilities that comply with the requirements of Schedule 2 are provided throughout the construction phase. IN served - You have failed to take suitable and sufficient steps (including the provision of suitable and sufficient firefighting equipment) to prevent, so far as reasonably practicable, the risk of injury to any person arising from fire, during the carrying out of construction work.",16/03/2026,,Complied with,HO/Melton Road/Harren Limited | Castle Gate | Nottingham | Nottinghamshire | NG1 | England,England,Midlands,Nottingham UA,Construction,41200,CONSTRUCTION OF BUILDINGS,Fixed,ISDIIU1G6,INSPECTION DIVISION,,East Midlands,2026-04-06T09:49:25.263571+00:00
315684388,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315684388,Harren Limited,Improvement Notice,20/02/2026,Nottingham UA,CONSTRUCTION OF BUILDINGS,20/02/2026,Improvement Notice,"IN served - You, as Principal Contractor, have failed to ensure that facilities that comply with the requirements of Schedule 2 are provided throughout the construction phase. IN served - You have failed to take suitable and sufficient steps (including the provision of suitable and sufficient firefighting equipment) to prevent, so far as reasonably practicable, the risk of injury to any person arising from fire, during the carrying out of construction work.",16/03/2026,,Complied with,HO/Melton Road/Harren Limited | Castle Gate | Nottingham | Nottinghamshire | NG1 | England,England,Midlands,Nottingham UA,Construction,41200,CONSTRUCTION OF BUILDINGS,Fixed,ISDIIU1G6,INSPECTION DIVISION,,East Midlands,2026-04-06T09:49:25.914736+00:00
315684693,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315684693,Andrew Dagg,Prohibition Notice Immediate,20/02/2026,Sunderland,INSTALL PLUMB/HEAT/AIR-CON,20/02/2026,Prohibition Notice Immediate,,,,,Robert Street/Andrew Dagg | 46 Robert Street | New Silksworth | SUNDERLAND | SR3 2DU | England,England,Yorks & North East,Sunderland,Construction,43220,INSTALL PLUMB/HEAT/AIR-CON,Fixed,IVDIIU1G3,INVESTIGATION DIVISION,,North East,2026-04-06T09:49:26.771960+00:00
315686199,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315686199,Transalloy Wheels Limited,Improvement Notice,20/02/2026,Kirklees,MVR,20/02/2026,Improvement Notice,"IN/LEEDS/CP4/16226/TWL1 315686199 You have failed to ensure the health and safety of your employees in that you have failed to ensure the exposure of your employees to substances hazardous to health, namely Dichloromethane (DCM), is either prevented, or where this is not reasonably practicable, adequately controlled. IN/LEEDS/CP4/16226/TAW2 315686639 You have failed to ensure the health and safety of your employees in that you have failed to prevent them exposure to substances hazardous to health, namely the stainless-steel welding fumes, paint and powder coating, by failing to provide suitable and sufficient respiratory protective equipment. IN/LEEDS/CP4/16226/TWL3 315686653 You have failed to ensure the health and safety of your employees in that you have failed to provide suitable and sufficient health surveillance for your employees who are, or liable to be exposed to substances hazardous to health, namely the Dichloromethane, Xylene and stainless-steel welding fumes.",20/06/2026,,Ongoing,HQ/Transalloy Wheels Limited | 45-54 Huddersfield Road | Birstall | BATLEY | WF17 9EG | England,England,Yorks & North East,Kirklees,Total service industries,45200,MVR,Fixed,ISDIIU1G4,INSPECTION DIVISION,,Yorkshire and Humber,2026-04-06T09:49:27.454626+00:00
315686501,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315686501,Asmatt Limited,Improvement Notice,20/02/2026,Basildon,CONSTRUCTION OF BUILDINGS,20/02/2026,Improvement Notice,"Improvement Notice - You have failed to ensure that a thorough examination and test of exhaust ventilation equipment was carried out at a suitable interval by a competent person, as the Negative Pressure Unit (NPU) with serial number 2022 was being used on a live enclosure with an expired Filtration Test Certificate",16/03/2026,,Complied with,HQ/Elmtree Cottage/Asmatt Limi | 4th Bilericay Scouts Hall | Laindon Road | Essex | CM12 9LL | England,England,East & South East,Basildon,Construction,41200,CONSTRUCTION OF BUILDINGS,Fixed,ISDIU3G16,INSPECTION DIVISION,,East,2026-04-06T09:49:28.247617+00:00
315686639,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315686639,Transalloy Wheels Limited,Improvement Notice,20/02/2026,Kirklees,MVR,20/02/2026,Improvement Notice,"IN/LEEDS/CP4/16226/TWL1 315686199 You have failed to ensure the health and safety of your employees in that you have failed to ensure the exposure of your employees to substances hazardous to health, namely Dichloromethane (DCM), is either prevented, or where this is not reasonably practicable, adequately controlled. IN/LEEDS/CP4/16226/TAW2 315686639 You have failed to ensure the health and safety of your employees in that you have failed to prevent them exposure to substances hazardous to health, namely the stainless-steel welding fumes, paint and powder coating, by failing to provide suitable and sufficient respiratory protective equipment. IN/LEEDS/CP4/16226/TWL3 315686653 You have failed to ensure the health and safety of your employees in that you have failed to provide suitable and sufficient health surveillance for your employees who are, or liable to be exposed to substances hazardous to health, namely the Dichloromethane, Xylene and stainless-steel welding fumes.",20/04/2026,,Ongoing,HQ/Transalloy Wheels Limited | 45-54 Huddersfield Road | Birstall | BATLEY | WF17 9EG | England,England,Yorks & North East,Kirklees,Total service industries,45200,MVR,Fixed,ISDIIU1G4,INSPECTION DIVISION,,Yorkshire and Humber,2026-04-06T09:49:28.920213+00:00
315686653,https://resources.hse.gov.uk/notices/notices/notice_details.asp?SF=CN&SV=315686653,Transalloy Wheels Limited,Improvement Notice,20/02/2026,Kirklees,MVR,20/02/2026,Improvement Notice,"IN/LEEDS/CP4/16226/TWL1 315686199 You have failed to ensure the health and safety of your employees in that you have failed to ensure the exposure of your employees to substances hazardous to health, namely Dichloromethane (DCM), is either prevented, or where this is not reasonably practicable, adequately controlled. IN/LEEDS/CP4/16226/TAW2 315686639 You have failed to ensure the health and safety of your employees in that you have failed to prevent them exposure to substances hazardous to health, namely the stainless-steel welding fumes, paint and powder coating, by failing to provide suitable and sufficient respiratory protective equipment. IN/LEEDS/CP4/16226/TWL3 315686653 You have failed to ensure the health and safety of your employees in that you have failed to provide suitable and sufficient health surveillance for your employees who are, or liable to be exposed to substances hazardous to health, namely the Dichloromethane, Xylene and stainless-steel welding fumes.",20/05/2026,,Ongoing,HQ/Transalloy Wheels Limited | 45-54 Huddersfield Road | Birstall | BATLEY | WF17 9EG | England,England,Yorks & North East,Kirklees,Total service industries,45200,MVR,Fixed,ISDIIU1G4,INSPECTION DIVISION,,Yorkshire and Humber,2026-04-06T09:49:29.710859+00:00
